index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,WGS84,GRS80
48608,지에스커넥트,우방죽전타운,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 용산로 160우방죽전타운(221 우방죽전타운),24시간 이용가능,거주자외 출입제한,,,"('35.8498640187371', '128.531297041099')","(1093265.2178655781, 1761977.032586179)"
48727,지에스커넥트,원대동 주민센터,1,AC완속,대구광역시 ,서구 ,대구광역시 서구 달서로55길 5지상주차장(원대동3가 1315-2),09시~23시,,,,"('35.86715071062', '128.57076312792')","(1096813.2489508232, 1763909.588750343)"
48742,지에스커넥트,원모터스,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 안심로59길 28원모터스,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('35.8686657755399', '128.718826371657')","(1110124.2466624493, 1764078.9645956403)"
48900,지에스커넥트,월성e편한세상,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 조암남로 10106동 지하1층 주차장 B1C28,24시간 이용가능,거주자외 출입제한,,,"('35.8193884894685', '128.522376969797')","(1092463.2967020816, 1758570.0376363562)"
48910,지에스커넥트,월성보성1차,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 학산로 30109동 맞은편 지하1층 주차장 주차장 분전실 옆(364 월성보성타운1단지),24시간 이용가능,거주자외 출입제한,,,"('35.8289449848627', '128.53380240458')","(1093490.4519393467, 1759638.4007567826)"
48916,지에스커넥트,월성우방아파트102동,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 학산로2길 11월성우방아파트102동(500-9 월성우방타운),24시간 이용가능,,7kW,,"('35.8261683580068', '128.532635561351')","(1093385.5518496335, 1759327.9892921536)"
48923,지에스커넥트,웰니스1004요양병원,1,AC완속,대구광역시 ,서구 ,대구광역시 서구 달구벌대로 1889(내당동)(내당동 885-3),24시간 이용가능,,,,"('35.8621527081415', '128.570850467812')","(1096821.1008732389, 1763350.8398258083)"
49010,지에스커넥트,유성푸르나임,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 수성로75길 16유성푸르나임(230 유성푸르나임),09시~22시,거주자외 출입제한,,,"('35.8579231665833', '128.612948775365')","(1100605.7705951636, 1762878.0005651063)"
49089,지에스커넥트,율하롯데캐슬탑클래스아파트,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 율하서로 23율하롯데캐슬탑클래스아파트,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('35.8657781407822', '128.692337898207')","(1107742.912844694, 1763756.143063987)"
49099,지에스커넥트,율하휴먼시아11단지,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 율하동로 19율하휴먼시아11단지(율하 휴먼시아11단지),24시간 이용가능,거주자외 출입제한,,,"('35.8616846507073', '128.69862081305')","(1108307.7516459178, 1763298.513603662)"
49302,지에스커넥트,이편한세상세계육상선수촌,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 율하서로 85이편한세상세계육상선수촌,24시간 이용가능,거주자외 출입제한,,,"('35.8625430631498', '128.69178290075')","(1107693.0181531187, 1763394.4793482)"
49493,지에스커넥트,일진1급자동차정비,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 안심로55길 38출입구 우측벽면. 한전주기준으로 앞 뒤 2대,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('35.8694397294987', '128.716042644677')","(1109873.987499369, 1764165.4883506761)"
49495,지에스커넥트,일진운수,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 화랑로25길 61출입구 우측 주차장,24시간 이용가능,,,,"('35.8793262569915', '128.642651985763')","(1103276.1116984421, 1765270.747227146)"
49503,지에스커넥트,자동차도우미,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 공항로 135출입구 우측 주차장 2대,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('35.9013320715226', '128.629455965055')","(1102089.7794459981, 1767730.875099362)"
49521,지에스커넥트,장관종합전문정비,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 중흥로 35(송현동)(송현동 2007-4),24시간 이용가능,,,,"('35.8308979378944', '128.556329816557')","(1095515.6833317326, 1759856.730061504)"
49523,지에스커넥트,장기누림타운,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 한들로 31장기누림타운(812 장기누림타운),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('35.8470475119536', '128.528639384318')","(1093026.2925088368, 1761662.162767087)"
49528,지에스커넥트,장기영남네오빌파크,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 한들로 36장기영남네오빌파크(809 영남네오빌파크),09시~22시,거주자외 출입제한,,,"('35.8470093240546', '128.526511535487')","(1092834.9972879207, 1761657.8935720266)"
49537,지에스커넥트,장기파랑새마을,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 한들로 70장기파랑새마을(814-1 장기파랑새마을),24시간 이용가능,거주자외 출입제한,,,"('35.8466089587705', '128.526467557244')","(1092831.0436105775, 1761613.1349563848)"
