index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,WGS84,GRS80
74333,이카플러그,세종 금남프라자,1,AC완속,세종특별자치시 ,호려울로 ,세종특별자치시 호려울로 45B3층 전기실 앞(745 금남프라자),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.4782313172509', '127.290015479499')","(981343.5274269338, 1831155.9233820061)"
74336,이카플러그,세종 리버피크닉1 충전소,1,AC완속,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 137(보람동)(706 리버피크닉),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.4799951290492', '127.286781727618')","(981051.8639580869, 1831352.259879189)"
74338,이카플러그,세종 해들마을6단지 1충전소,1,AC완속,세종특별자치시 ,대평로 ,"세종특별자치시 대평로 80(대평동, 해들마을 6단지)(해들마을 6단지)",24시간 이용가능,거주자외 출입제한,7kW,,"('36.4748501711901', '127.276849066711')","(980156.0022959597, 1830779.5553507444)"
74346,이카플러그,세종개발(세종필드골프클럽),1,AC완속,세종특별자치시 ,정안세종로 ,세종특별자치시 정안세종로 1569메인골프장,24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.5385858687258', '127.261911994898')","(978808.7751926709, 1837874.2145494972)"
74354,이카플러그,세종리슈빌S,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 496지하3층주차장 08기둥(세종 리슈빌S),24시간 이용가능,,7kW,,"('36.5077999111818', '127.262236341296')","(978838.0291363966, 1834447.3143141996)"
74359,이카플러그,세종시 새뜸마을 12단지,1,AC완속,세종특별자치시 ,새롬남로 ,세종특별자치시 새롬남로 102B1주차장 입구(614 새뜸마을12단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.4851427480972', '127.256863141229')","(978353.4013022212, 1831925.260634537)"
74362,이카플러그,세종시 새뜸마을 9단지,1,AC완속,세종특별자치시 ,새롬남로 ,세종특별자치시 새롬남로 98단지내 주차장(611 새뜸마을9단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.4848515346529', '127.256089488048')","(978283.6227976363, 1831892.8445753846)"
74366,이카플러그,세종시2차푸르지오시티1,1,AC완속,세종특별자치시 ,가름로 ,세종특별자치시 가름로 255-21지하1층주차장(2차 푸르지오시티),24시간 이용가능,,7kW,,"('36.4954531454771', '127.267087638199')","(979275.5846864834, 1833072.9495818983)"
74372,이카플러그,세종푸르지오시티1차1,1,AC완속,세종특별자치시 ,갈매로 ,세종특별자치시 갈매로 364지하2층 휀룸옆 A기둥(세종시 푸르지오시티),24시간 이용가능,,7kW,,"('36.4960041196567', '127.263925660843')","(978990.3948147788, 1833134.2805813656)"
75186,이카플러그,제이엔지케이(세종필드골프연습장),1,AC완속,세종특별자치시 ,눌왕새터말길 ,세종특별자치시 눌왕새터말길 3옥외주차장,24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.541182233279', '127.267245290347')","(979289.8038888372, 1838163.225611946)"
75423,이카플러그,콘티넨탈,1,AC완속,세종특별자치시 ,부강면 ,세종특별자치시 부강면 금호선말길 74-7(금호리)(금호리 249),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.4980261137775', '127.362576319799')","(987888.0451151012, 1833359.3563198226)"
