index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,WGS84,GRS80
60945,에버온,스마트시티주상복합아파트2,1,AC완속,대전광역시 ,유성구 ,"대전광역시 유성구 엑스포로123번길 65-38 (도룡동, 스마트시티)2단지","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.3781291523733', '127.392988720623')","(990477.8599061287, 1820086.6338612754)"
61065,에버온,신인동주민센터,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 충무로203번길 28-25(16-2 신인동주민센터),평일 09시~18시 이용가능,,,,"('36.3238139727494', '127.437760867512')","(994545.106013101, 1814041.6673001836)"
61379,에버온,열매마을8단지새미래아파트807동,1,AC완속,대전광역시 ,유성구 ,"대전광역시 유성구 은구비남로 34 (노은동, 열매마을아파트 8단지 새미래)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.3697938076171', '127.318629804726')","(983722.856355584, 1819158.9580131003)"
61677,에버온,운암네오미아아파트3,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 덕명로 26(524 운암네오미아아파트),24시간 이용가능,외부인 사용불가,7kW,입주민만이용가능,"('36.3578075041661', '127.302348759986')","(982243.833783797, 1817824.9514967978)"
61859,에버온,유성푸르지오시티1,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 온천로 45 (봉명동)B5층 05 12,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.3558166482127', '127.34301917889')","(985938.4657023047, 1817603.380699287)"
62793,에버온,자양동아아파트1,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 성동로 74(201 동아아파트),24시간 이용가능,외부인 사용불가,7kW,입주민만이용가능,"('36.3423972699128', '127.451596686779')","(995801.9964228906, 1816109.8812088084)"
62798,에버온,자양동주민센터,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 백룡로 16(60-1 자양동주민센터),평일 09시~18시 이용가능,,,,"('36.3354658528288', '127.448639022472')","(995533.3126658169, 1815338.4544219705)"
64411,에버온,초록마을1단지1,1,AC완속,대전광역시 ,서구 ,"대전광역시 서구 복수동로 21-19 (복수동, 초록마을1단지)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.3026606047966', '127.37963191744')","(989264.484861096, 1811687.4193198846)"
66014,에버온,학의뜰아파트,1,AC완속,대전광역시 ,유성구 ,"대전광역시 유성구 학하로 33 (계산동, 학하리슈빌 학의뜰아파트)지하2층 107동~108동사이 15기둥 뒤쪽벽면(계산동 749)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.3378953482041', '127.301352626877')","(982153.3418420181, 1815608.8432599662)"
66034,에버온,한국산업인력공단 대전지역본부,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 서문로25번길 1한국산업인력공단 대전지역본부 외부 주차장,09:00~18:00,,,,"('36.3105708934567', '127.407502291581')","(991796.3194636644, 1812567.788873479)"
66066,에버온,한신휴플러스보르미,1,AC완속,대전광역시 ,중구 ,"대전광역시 중구 계백로1686번길 16 (문화동, 한신휴플러스보르미아파트)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.3197454733528', '127.407122312109')","(991761.8009038988, 1813588.8667575628)"
66240,에버온,홍도동주민센터,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 동산초교로34번길 56(92-3 홍도동주민센터),평일 09시~18시 이용가능,,,,"('36.349081438139', '127.425826689463')","(993460.9668198194, 1816853.7906222704)"
66537,대영채비,(유)대덕현대서비스,1,AC완속,대전광역시 ,대덕구 ,대전광역시 대덕구 신탄진로 375현대블루핸즈 대덕현대서비스(244-1 대형물류),08:00 ~ 18:00,,,,"('36.4121784026504', '127.422731864466')","(993179.8229436505, 1823876.1192460342)"
66556,대영채비,(주)대광상운,1,DC콤보,대전광역시 ,중구 ,대전광역시 중구 대종로 120대광상운 택시차고지(옥계동 4-1),24시간 이용가능,,200kW,,"('36.3031898889306', '127.451280576764')","(995773.2799704265, 1811746.3255945859)"
66562,대영채비,(주)대전동원약품,1,AC완속,대전광역시 ,대덕구 ,대전광역시 대덕구 아리랑로 121,09:00~18:00,,,,"('36.374968231454', '127.418377675457')","(992784.2743821797, 1819734.8415742624)"
66575,대영채비,(주)라인투자개발,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 도안동로11번길 57(주)라인투자개발(도안동 1776),24시간 이용가능,,,,"('36.3052806964215', '127.349950951323')","(986568.1702485798, 1811979.0204223606)"
