주차장명,주차장구분,소재지지번주소,주차구획수,위도,경도
합내길(구 가양1동사무소 앞),공영,대전광역시 동구 가양1동 446-34~530-2번지선,78,36.34756059999978,127.43984939999937
"현암1,8,10,11길(삼성동 343번지 주변)",공영,"대전광역시 동구 삼성동 342, 343, 344, 355번지",26,36.34165559999977,127.41591619999987
홍도동 경성3차@~청룡@ 주변,공영,대전광역시 동구 홍도동 64-1~57-5번지 주변,33,36.34595730000017,127.42854530000005
홍도동 동산어린이공원 주변,공영,대전광역시 동구 홍도동 111-1번지,37,36.347486599999876,127.42045299999957
홍도동 시영(아) 1동 옆,공영,대전광역시 동구 홍도동 137-3~137-3번지선,15,36.345152499999855,127.4205521999997
홍도동 시영(아) 3동 담길,공영,대전광역시 동구 홍도동 135-2번지선,10,36.34581890000007,127.42062810000013
월평1동이마트주변,공영,대전광역시 서구 월평동 510,48,36.35770196,127.3629207
월평2동둔산선사유적지옆,공영,대전광역시 서구 월평동281,15,36.36095306,127.3789367
대전일보~월평타운구간,공영,대전광역시 서구 월평동29-3,44,36.35318043,127.3608016
탄방동탄방역주변,공영,대전광역시 서구 탄방동667,93,36.34462122,127.3855677
만년동서구보건소주변,공영,대전광역시 서구 만년동340,116,36.36708849,127.3810828
법원.검찰청앞갤러리아옆,공영,대전광역시 서구 둔산동1390,139,36.35445934,127.3876875
법원.검찰청연장노선,공영,대전광역시 서구 둔산동 1390,75,36.35449244,127.3892768
탄방동로데오타운주변,공영,대전광역시 서구 탄방동 746,53,36.34732705,127.387976
둔산로31번길,공영,대전광역시 서구 둔산동1001,91,36.35486894,127.3778061
도시철도공사주변,공영,대전광역시 서구 월평동160-20,107,36.34828249,127.352659
대전일보 앞,공영,대전광역시 서구 갈마동274-7,64,36.353418,127.3639298
서구청 앞,공영,대전광역시 서구 둔산동 1300,142,36.35505601,127.3833576
을지병원주변,공영,대전광역시 서구 둔산동1306,153,36.35530056,127.381988
월평길(월평초~월평중),공영,대전광역시 서구 월평동663,122,36.3566482,127.3674693
둔지미길(향촌@~파랑새@),공영,대전광역시 서구 둔산동 957,143,36.35638892,127.3746125
용운동 도리어린이공원 주변,공영,대전광역시 동구 용운동 284번지 주변,19,36.329452799999764,127.46085509999978
용운동 모리아파트 담길,공영,대전광역시 동구 용운동 319-1번지 앞,9,36.323102399999875,127.46168129999982
"용운동 삼정하이츠, 문충사 주변",공영,"대전광역시 동구 용운동 363, 356-1번지선",41,36.32633510000005,127.45583119999974
용운동 선량마을 노상주차장,공영,대전광역시 동구 용운동 54,5,36.336672799999796,127.46505029999997
호동제3노상,공영,대전광역시 중구 호동 17-9,92,36.304750799999645,127.44771399999945
갈마2동큰마을네거리주변,공영,대전광역시 서구 갈마동1435,45,36.34765243,127.376635
계룡로 주변 노상주차장,공영,대전광역시 서구 둔산동1136,219,36.3462951,127.3795337
호동제2노상,공영,대전광역시 중구 호동 23-1,55,36.30311140000027,127.44877689999976
대사동제4노외,공영,대전광역시 중구 대사동 233-38,9,36.3167683999996,127.42063919999968
